Person,Sex,Age,Race,Educ,Income,Testimony,InstructionType,Verdict
90,Female,1981,Black or African American,"Master's degree (e.g., MA, MS, MEd)","$200,000 or more",weak,NJ,not guilty
91,Male,1985,White,Some college credit,"$40,000 to $49,999",weak,RI,not guilty
92,Male,1990,White,Some college credit,"$10,000 to 19,999",strong,NJ,guilty
93,Female,1977,White,"Master's degree (e.g., MA, MS, MEd)","$60,000 to $69,999",weak,RI,not guilty
94,Female,1987,Asian,"Master's degree (e.g., MA, MS, MEd)","$60,000 to $69,999",strong,RI,not guilty
95,Male,1950,White,"Doctorate degree (e.g., PhD, EdD)","$60,000 to $69,999",weak,NJ,not guilty
96,Male,1988,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",weak,RI,not guilty
97,Male,1978,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",strong,RI,not guilty
98,Female,1992,White,High school graduate (diploma or GED),"$100,000 to $149,999",strong,NJ,not guilty
99,Female,1987,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,NJ,not guilty
100,Male,1994,White,Some college credit,"$80,000 to $89,999",weak,RI,not guilty
101,Male,1985,White,Some college credit,"$70,000 to $79,999",strong,NJ,not guilty
102,Male,1983,White,"Associate degree (e.g., AA, AS)","$70,000 to $79,999",weak,NJ,not guilty
103,Female,1983,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,RI,not guilty
104,Female,1988,Black or African American,Some college credit,"$20,000 to $29,999",weak,NJ,not guilty
105,Female,1969,White,"Associate degree (e.g., AA, AS)","$40,000 to $49,999",strong,NJ,not guilty
106,Male,1981,White,High school graduate (diploma or GED),"$30,000 to $39,999",weak,RI,not guilty
107,Male,1985,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,guilty
108,Female,1971,White,Some college credit,"$20,000 to $29,999",weak,RI,guilty
109,Female,1981,White,"Bachelor's degree (e.g., BA, AB, BS)","$90,000 to $99,999",weak,NJ,not guilty
110,Female,1960,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,RI,not guilty
111,Male,1991,White,High school graduate (diploma or GED),"$10,000 to 19,999",strong,RI,not guilty
